_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
32,Communities,"Children, Community and Social Services",Oshawa,Catholic Family Services of Durham,Complete,18-Aug,Acquisition  and renovations of a site to deliver a variety of services to the community through a community hub model.  ,"The building will provide a variety of services, including support for survivors of domestic violence and their children, crisis support, intensive trauma counselling, sexual assault counselling and transitional housing support services. ",Durham,Central,Address is confidential,,,1100000,,Yes,,,http://www.cfsdurham.com/english/Hope%20Centre%20Durham%20Region.pdf,,
33,Communities,"Children, Community and Social Services",Ottawa,Nelson House,Complete,18-Aug,Construction of a new shelter to replace the existing site.,Construction of a new accessible shelter which will provide 5 additional beds for services.,Ottawa,East,Address is confidential,,,5300000,,,Yes,,http://www.nelsonhouse.on.ca/2017/04/21/federal-provincial-governments-approve-funding-new-shelter-nelson-house/,,
34,Communities,"Children, Community and Social Services",Ottawa,Minwaashin Lodge,Complete,20-Mar,"Renovations and upgrades to the exisiting shelter site, including a multi-storey addition.",The shelter upgrades and addition will optimize programming spaces and ensure suitable culturally appropriate space.,Ottawa,East,Address is confidential,,,1000000,,Yes,Yes,,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2018/governments-announce-funding-shelters-survivors-domestic-violence,,
35,Communities,"Children, Community and Social Services",Ottawa,CHEO Integrated Treatment Centre,Under construction,27-Nov,"Construct a new state-of-the-art children’s treatment centre on the CHEO campus, to offer critical services for children and youth with special needs.","Consolidation of services and improved support for developmental, rehabilitation, behavioural and mental health.. ",Ottawa,East,401 Smyth Rd,K1H 8L1,,371370000,,Yes,,Yes,https://www.news.ontario.ca/en/release/52689/ontario-supports-the-childrens-hospital-of-eastern-ontario,45.400974,-75.651314
36,Communities,"Children, Community and Social Services",Ottawa,Ronald McDonald House Charities (RMHC) - Ottawa site,Under construction,25-Oct,"New expansion of approximately 25,000 sq. ft. to add 22 new suites into the existing RMHC building in Ottawa to accommodate up to 36 families who are away from home, while their child is receiving care at the Children’s Hospital of Eastern Ontario (CHEO).","The project will add 22 more suites to create a 36-suite facility that can accommodate families travelling 80 km and further with a sick child at Children Hospital of Eastern Ontario (CHEO). The project will expand the building envelope, and install life systems and outdoor enhancements.",Ottawa,East,,,,0,,Yes,Yes,Yes,,43.879,-79.03
37,Communities,"Children, Community and Social Services",Prescott and Russell,Valoris for Children and Adults of Prescott-Russell Multi-Service Building,Complete,16-Oct,Construction of new building,"Wide range of community and social services programs under one roof (e.g. mental health, family violence, child/adult development)",Prescott and Russell,East,8 rue Valoris,K0A 1W0,,4000000,,Yes,,Yes,http://www.valorispr.ca/en/,45.259265,-75.357609
38,Communities,"Children, Community and Social Services",Richmond Hill,Christian Horizons Upgrades and Repairs,Complete,17-Mar,"Includes new roof, fixing and extending driveway, repairs and renovations to bathrooms, bedrooms and recreation areas","Provide better, more secure and accessible facilities",York,Central,148 Weldrick Rd W,L4C 3V1,,55000,,Yes,,,,43.857619,-79.448352
39,Communities,"Children, Community and Social Services",Richmond Hill,Community Living York South Upgrades and Repairs,Complete,17-Mar,Replacement of pavement on driveway and curbs,"Provide better, more secure and accessible facilities",York,Central,376 Balkan Rd,L4C 2P1,,15000,,Yes,,,,43.882638,-79.421899
40,Communities,"Children, Community and Social Services",Richmond Hill,Community Living York South Upgrades and Repairs,Complete,17-Mar,Replace furnace and air conditioning,"Provide better, more secure and accessible facilities",York,Central,8 Blackforest Dr,L4E 2P6,,6500,,Yes,,,,43.955075,-79.458392
41,Communities,"Children, Community and Social Services",Richmond Hill,Sandgate Women's Shelter Upgrades and Repairs,Complete,17-Mar,New  energy-efficient windows to replace existing windows,"Provide better, more secure and accessible facilities",York,Central,,,,7100,,Yes,,,,,
42,Communities,"Children, Community and Social Services",Sioux Lookout,Partner Facility Renewal - Community Living Dryden - Sioux Lookout,Under construction,25-Sep,"Heating, Ventilating & AC",Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Kenora,Northwest,41 King Street,P8T 1B8,,599000,,Yes,,,,50.098878,-91.914688
43,Communities,"Children, Community and Social Services",St. Thomas,Women's Place Emergency Shelter Replacement,Complete,16-Sep,Construction of new building,"7,250 sq. ft.-shelter with 10 bedrooms and 26 beds",Elgin,Southwest,,,,2024000,,Yes,,Yes,http://www.vawsec.on.ca/,,
44,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,17-Mar,New canopy over front entrance,"Provide better, more secure and accessible facilities",Toronto,Central,174 Kennard Ave,M3H 4M7,,13800,,Yes,,,,43.760026,-79.462488
45,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,17-Mar,"Replacing fence, curbs and driveway","Provide better, more secure and accessible facilities",Toronto,Central,379 Brooke Ave,M4M 2L5,,18900,,Yes,,,,43.730964,-79.429606
46,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,17-Mar,Replacing driveway and walkway,"Provide better, more secure and accessible facilities",Toronto,Central,524 Fairlawn Ave,M5M 1V2,,14300,,Yes,,,,43.726082,-79.426837
47,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,17-Mar,"New roof, raised window wells","Provide better, more secure and accessible facilities",Toronto,Central,64 Lorraine Dr,M2N 3E7,,22300,,Yes,,,,43.776978,-79.42111
48,Communities,"Children, Community and Social Services",Toronto,North York Women's Shelter,Complete,19-Jul,Demolition and reconstruction of a building,"Construction of a new accessible 24,000 sq. ft. (approx) 30-bed VAW shelter with space for administrative/outreach services",Toronto,Central,Address is confidential,,,12000000,,Yes,Yes,Yes,http://www.nyws.ca/her-campaign/faqs/,,
49,Communities,"Children, Community and Social Services",Toronto,Nellie's (Women's Hostels Inc.),Complete,21-Oct,Renovation of the newly acquired site in Toronto,"This building will provide a  40-bed, fully accessible building – consolidating the shelter, community support and outreach and administrative services into one location.",Toronto,Central,Address is confidential,,,12000000,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/52978/ontario-investing-in-shelter-expansion-in-toronto-to-protect-vulnerable-women-and-children,,
50,Communities,"Children, Community and Social Services",Toronto,Anti-Human Trafficking Specialized Residential Sites - Operation Springboard ,Complete,21-Jun,Implementation of a specialized site in Toronto for children and youth who are victims of human-trafficking. ,"This specialized residence will divert children and youth that are being, or at risk of being trafficked, from less effective services and result in better health, social, legal and educational outcomes. ",Toronto,Central,Address is confidential,,,0,,,,Yes,"https://www.ontario.ca/page/ontarios-anti-human-trafficking-strategy-2020-2025#:~:text=Ontario%27s%20anti%2Dhuman%20trafficking%20strategy%20will%20raise%20awareness%20of%20the,give%20law%20enforcement%20the%20tools",,
51,Communities,"Children, Community and Social Services",Toronto,Partner Facility Renewal - Geneva Centre for Autism,Under construction,25-Sep,Roof Assembly & Waterproofing,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Toronto,Central,112 Merton Street,M4S 2Z8,,390000,,Yes,,,,43.697081,-79.392812
52,Communities,"Children, Community and Social Services",Toronto,Partner Facility Renewal - Bob  Rumball,Under construction,25-Sep,Roof Construction,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Toronto,Central,2395 Bayview Avenue,M2L 1A2,,254000,,Yes,,,,43.734753,-79.380527
53,Education,Colleges and Universities,Barrie,"Georgian College - Advanced Technology, Innovation and Research Centre",Complete,18-Oct,Modernizing facilities,"Adding 60,000 sq. ft. to support engineering labs, multi-use technology classrooms, research commercialization and maker spaces",Simcoe,Central,1 Georgian Dr,L4M 3X9,,27700000,,Yes,Yes,Yes,,44.412167,-79.668206
54,Education,Colleges and Universities,Belleville,Loyalist College Health and Wellness Centre Renovation,Complete,18-Apr,Renovation of existing space for new Health and Wellness Centre and renovations to 3rd floor main campus.,"Upgrades to the building shell and systems will improve the learning environment, increase accessibility, and meet sustainability/energy efficiency goals.  Installation of simulation equipment will strengthen learning partnerships with local health care agencies.",Hastings,East,376 Wallbridge-Loyalist,K8N 5B9,,3200000,,Yes,Yes,Yes,,44.177,-77.389367
55,Education,Colleges and Universities,Greater Sudbury,Laurentian University - Campus Modernization,Complete,18-Apr,Renovating and expanding campus,"Adding 47,000 sq.ft. of space for research, innovation and commercialization activity, updating heating systems to reduce electricity consumption",Sudbury,Northeast,935 Ramsey Lake Rd,P3E 2C6,,60700000,,Yes,Yes,Yes,,46.466651,-80.974417
56,Education,Colleges and Universities,Greater Sudbury,Laurentian University - New McEwen School of Architecture,Complete,16-Sep,Construction of new building and renovation of CP Rail and CP Telegraph buildings,Adding 2-storeys and renovated space to support teaching and learning in design/culture of northern Ontario,Sudbury,Northeast,85 Elm St,P3C 1T3,,0,,Yes,,Yes,,46.493067,-80.996585
57,Education,Colleges and Universities,Guelph,University of Guelph - Investing in the Future of Health & Veterinary Science projects,Complete,21-Mar,Renovation and expansion,"Larger teaching classrooms and clinical research space; new space for computer-based case studies, simulators and more; renovating vet hospital for advanced surgery and anaesthesia",Wellington,Southwest,50 Stone Rd E,N1G 2W1,,37650000,,Yes,,Yes,,43.528436,-80.22352
58,Education,Colleges and Universities,Hamilton,"McMaster University - Arthur Bourns Building  - Repair, Retrofit, Addition, Campus COGEN",Complete,19-Jan,Renovating and expanding research laboratories,"Adding 45,000 sq. ft. of space for research, innovation and commercialization",Hamilton,Central,1280 Main St,L8S 4L8,,78225000,,Yes,Yes,Yes,,43.260405,-79.92172
59,Education,Colleges and Universities,Hamilton,McMaster University - L.R. Wilson Hall for Studies in Humanities and Social Sciences,Complete,16-Nov,Construction of new humanities and social sciences building,"Adding 177,927 sq.ft. of academic space",Hamilton,Central,1280 Main St,L8S 4L8,,45500000,,Yes,,Yes,,43.261943,-79.916687
60,Education,Colleges and Universities,Hamilton,Mohawk College - Partnership and Innovation Centre ,Complete,18-Jul,Construction of new building,"New research and training centre focusing on energy, health and technologies such as digital health, additive manufacturing, robotics, and mechanotronics",Hamilton,Central,135 Fennell Ave W,L9C 1K9,,0,,,Yes,Yes,,43.23869,-79.888071
61,Education,Colleges and Universities,King,Seneca College - King Campus Expansion,Complete,18-May,Campus expansion,"200,000 sq. ft. of new space, including classrooms, library, learning commons and more to support  1,500 more students",York,Central,13990 Dufferin St,L7B 1B3,,0,,Yes,,Yes,http://www.infrastructureontario.ca/Seneca-College-King-Campus-Expansion/,43.955689,-79.51003
62,Education,Colleges and Universities,Kingston,Queen's University - Botterell Hall Revitalization,Complete,18-Nov,Renovation and expansion of building,"New biomedical research facility for more than 500 students, staff and researchers",Frontenac,East,10 Stuart St,K7L 2V5,,31834810,,Yes,Yes,Yes,,44.224388,-76.491475
63,Education,Colleges and Universities,Kingston,Queen's University - Innovation and Wellness Centre,Complete,18-Nov,Renovating and expanding existing building,"New centre to house academic, recreational, student life and services (e.g. mental health) and an innovation hub for bioengineering, groundwater and environmental  research",Frontenac,East,69 Union St,K7L 2N9,,87465000,,Yes,Yes,Yes,http://www.queensu.ca/connect/innovationandwellness/,44.226158,-76.48569
64,Education,Colleges and Universities,Kingston,St. Lawrence College - SLC: HELLO Future - Where Innovation meets Revitalization,Complete,18-Oct,"Renovating and expanding campus infrastructure, teaching and research  spaces","New health and fitness facilities, simulation labs, and other program space to support increased enrollment, especially among Indigenous students",Frontenac,East,100 Portsmouth Ave,K7L 5A6,,32100000,,Yes,Yes,Yes,,44.222576,-76.528369
65,Education,Colleges and Universities,Kitchener,"Conestoga College - Pathways to Prosperity: enhancing productivity to build stronger, more competitive communities",Complete,18-Apr,Renovating and expanding existing building,"New centre for culinary, hospitality, recreation and tourism program",Waterloo,Southwest,299 Doon Valley Dr,N2G 4M4,,0,,Yes,Yes,Yes,,43.38986,-80.4048
66,Education,Colleges and Universities,London,"Western University - Faculty of Information and Media Studies (FIMS), the School of Nursing and Institute for Advanced Study",Complete,16-Nov,Renovation of existing buildings,"Modernizing 118,400 sq. ft. of space to improve accessibility and energy efficiency",Middlesex,Southwest,1151 Richmond St,N6A 3K7,,21000000,,Yes,,Yes,,43.00856,-81.2635
67,Education,Colleges and Universities,London,Western University - The Western Interdisciplinary Research Building (WIRB),Complete,18-Apr,Construction of new building ,"Adding 130,000 sq. ft. of space to house Research Cluster for Cognitive Neuroscience, including Brain & Mind Institute, and the Rotman Institute of Philosophy",Middlesex,Southwest,1151 Richmond St,N6A 3K7,,0,,,Yes,Yes,,43.008221,-81.262477
68,Education,Colleges and Universities,London,"Western University - Three C+ - an Innovation Centre to Connect, Collaborate, and Create",Complete,18-Jul,Construction of new building ,"Adding 100,000 sq. ft. of space to support  interdisciplinary research in engineering and business",Middlesex,Southwest,1152 Richmond St,N6A 3K7,,0,,,Yes,Yes,,43.008903,-81.261123
69,Education,Colleges and Universities,Mississauga,Sheridan College - Hazel McCallion Campus Expansion Phase II,Complete,16-Nov,Expansion of building ,"3,200 additional fulltime students to use new classrooms, studios, labs, production and gallery space and more",Peel,Central,4180 Duke of York Blvd,L5B 0G5,,67700000,,Yes,,Yes,http://www.infrastructureontario.ca/Sheridan-College-Hazel-McCallion-Campus-Expansion/,43.59109,-79.6471
70,Education,Colleges and Universities,Mississauga,University of Toronto at Mississauga - North Building Reconstruction ,Complete,16-Dec,Renovating North Building in three phases,"6-storey, 210,000-sq. ft.-space to house several departments and provide more flexible learning and social spaces",Peel,Central,3359 Mississauga Rd,L5L 1C6,,52500000,,Yes,,Yes,,43.54864,-79.6621
71,Education,Colleges and Universities,Niagara,Brock University Building Improvements ,Complete,18-Oct,"Improvements to various building systems, including natural gas cogeneration systems, absorption chillers and water lines.","Upgrades to major building energy, water and cooling systems will increase energy efficiency and reduce utility costs and greenhouse gas emissions.",Niagara,Central,1812 Sir Isaac Brock Way,L2S 3A1,,10377528,,Yes,Yes,Yes,,43.117125,-79.243199
72,Education,Colleges and Universities,North Bay,Canadore College,Complete,18-Oct,Will provide a new an innovative approach to educating the next generation of health professionals. ,"The facility will house the School of Health, Human Care and Wellness in addition to Student Success and Support Services and include new academic teaching space, a learning commons, flexible student activity rooms, collaborative study space, and event and service delivery space.  Upgrades to building systems will improve sustainability and energy efficiency.",Nipissing,Northeast,100 College Drive ,P1B 8K9,,12500000,,Yes,Yes,Yes,,46.343662,-79.492758
73,Education,Colleges and Universities,Oakville,Sheridan College - Partnering Across Boundaries: Bringing Global Leadership to Academic-Municipal Collaboration on District Energy,Complete,18-Oct,Partnering with municipalities (Brampton and Oakville) to generate and share energy,District Energy Centre to be used for developing and testing local energy production,Halton,Central,1430 Trafalgar Rd,L6H 2L1,,21400000,,Yes,Yes,Yes,,43.468486,-79.700134
74,Education,Colleges and Universities,Oshawa,Durham College - Centre for Collaborative Education,Complete,18-Apr,Construction of new building ,"Supporting global/local entrepreneurial approach to teaching and learning through aboriginal, entrepreneuship and student success centres",Durham,Central,2000 Simcoe St N,L1H 7K4,,35000000,,Yes,Yes,,https://www.durhamcollege.ca/centre-for-collaborative-education,43.945572,-78.89464
75,Education,Colleges and Universities,Oshawa,University of Ontario Institute of Technology (UOIT) - Software and Informatics Research Centre,Complete,18-Dec,"New facility for health and business analytics, IT security, networking, gaming, and software engineering","82,000 sq. ft. of new space for teaching, research and registrar (bringing all services into one location)",Durham,Central,2000 Simcoe St N,L1H 7K4,,0,,Yes,Yes,Yes,https://www.uoit.ca/about/campus-buildings/north-oshawa/sirc/index.php,43.948324,-78.896926
76,Education,Colleges and Universities,Ottawa,"Algonquin College - Innovation, Entrepreneurship, Learning Centre and Institute for Indigenous Entrepreneurship",Complete,18-Apr,Renovating library on Woodroffe campus,"Modernized space will include business incubator, makerspace and prototyping facilities, and new Centres of Excellence for Cyber Security and Energy Innovation (collaboration with Siemens Canada)",Ottawa,East,1385 Woodroffe Ave,K2G 1V8,,44900000,,Yes,Yes,Yes,,45.349784,-75.755431
77,Education,Colleges and Universities,Ottawa,Carleton University - Energy Retrofit and Modernization of Facilities,Complete,18-Jul,Retrofits to several aging buildings on campus,Increased cost savings from reduction of energy and water use ,Ottawa,East,1125 Colonel By Dr,K1S 5B6,,20465299,,Yes,Yes,Yes,,45.385577,-75.69572
